,fit_time,score_time,test_balanced_accuracy,test_roc_auc,model,cenario/amostra
0,0.23447442054748535,0.013681888580322266,0.9957469431153642,0.999769159741459,LogClass,cenario4/resultado_1
1,0.2553844451904297,0.01858687400817871,0.9700956937799043,0.9992305324715297,LogClass,cenario4/resultado_1
2,0.2449023723602295,0.014920949935913086,0.9970095693779905,0.9999335459861776,LogClass,cenario4/resultado_1
3,0.29898929595947266,0.020373821258544922,0.9986707430546324,0.9998810664838356,LogClass,cenario4/resultado_1
4,0.25466275215148926,0.018982648849487305,0.9975408746510701,0.9996292072731343,LogClass,cenario4/resultado_1
5,5.699544906616211,0.2990758419036865,1.0,1.0,RF,cenario4/resultado_1
6,5.110689163208008,0.312396764755249,0.9736842105263157,0.9999930048406502,RF,cenario4/resultado_1
7,7.9378838539123535,0.3314995765686035,1.0,1.0,RF,cenario4/resultado_1
8,7.344407558441162,0.3402099609375,1.0,1.0,RF,cenario4/resultado_1
9,7.801305532455444,0.3088986873626709,1.0,1.0,RF,cenario4/resultado_1
10,13.623788356781006,0.17021393775939941,0.9999335459861776,0.9999930048406502,MLP,cenario4/resultado_1
11,13.704339027404785,0.19412589073181152,0.9736177565124933,0.9999860096813006,MLP,cenario4/resultado_1
12,14.400776386260986,0.18196344375610352,0.9721557682083998,0.9999704648827455,MLP,cenario4/resultado_1
13,14.11696743965149,0.16721367835998535,1.0,1.0,MLP,cenario4/resultado_1
14,15.283377408981323,0.1796567440032959,1.0,1.0,MLP,cenario4/resultado_1
15,0.34238767623901367,0.13737869262695312,0.6842105263157895,1.0,SVM,cenario4/resultado_1
16,0.2992072105407715,0.13062310218811035,0.6842105263157895,1.0,SVM,cenario4/resultado_1
17,0.3474249839782715,0.18506669998168945,0.5833333333333334,1.0,SVM,cenario4/resultado_1
18,0.3068070411682129,0.13053584098815918,0.6578947368421053,1.0,SVM,cenario4/resultado_1
19,0.328906774520874,0.1327977180480957,0.6842105263157895,1.0,SVM,cenario4/resultado_1
20,15.035443544387817,0.04817461967468262,1.0,1.0,XGB,cenario4/resultado_1
21,14.577986478805542,0.09523987770080566,0.9736842105263157,0.9800043369987967,XGB,cenario4/resultado_1
22,15.040914297103882,0.07900404930114746,0.9722222222222222,1.0,XGB,cenario4/resultado_1
23,15.125229358673096,0.03694009780883789,1.0,1.0,XGB,cenario4/resultado_1
24,15.178120136260986,0.030083894729614258,1.0,1.0,XGB,cenario4/resultado_1
25,0.218994140625,0.012985944747924805,0.9946337536892944,0.9997825044108918,LogClass,cenario4/resultado_10
26,0.2297525405883789,0.012969970703125,0.9898752754266573,0.9999024318852598,LogClass,cenario4/resultado_10
27,0.25506162643432617,0.013639211654663086,0.9906802123732631,0.9999207259067736,LogClass,cenario4/resultado_10
28,0.22582674026489258,0.012659072875976562,0.9975848651549711,1.0,LogClass,cenario4/resultado_10
29,0.2268965244293213,0.01300191879272461,0.9843788752952848,0.9999308799791827,LogClass,cenario4/resultado_10
30,7.377881765365601,0.3308379650115967,0.9999329219211162,0.9999999999999999,RF,cenario4/resultado_10
31,7.293936014175415,0.3144075870513916,1.0,1.0,RF,cenario4/resultado_10
32,7.076143503189087,0.2976233959197998,1.0,1.0,RF,cenario4/resultado_10
33,6.864049673080444,0.3171730041503906,1.0,1.0,RF,cenario4/resultado_10
34,6.814993619918823,0.31324338912963867,1.0,1.0,RF,cenario4/resultado_10
35,15.140888214111328,0.1579601764678955,0.9924242424242424,1.0,MLP,cenario4/resultado_10
36,12.973179578781128,0.163895845413208,1.0,1.0,MLP,cenario4/resultado_10
37,13.544151306152344,0.18109631538391113,0.9848484848484849,0.9999857713166005,MLP,cenario4/resultado_10
38,11.75458836555481,0.1824817657470703,1.0,1.0,MLP,cenario4/resultado_10
39,16.234338998794556,0.1603240966796875,0.9924242424242424,0.9998963199687739,MLP,cenario4/resultado_10
40,0.546363115310669,0.2899210453033447,0.8863636363636364,0.9939934629363124,SVM,cenario4/resultado_10
41,0.5899293422698975,0.32884931564331055,0.9015151515151515,0.994723191127806,SVM,cenario4/resultado_10
42,0.5278289318084717,0.3055112361907959,0.9090909090909092,0.9999776406403721,SVM,cenario4/resultado_10
43,0.6591825485229492,0.47421789169311523,0.9015151515151515,0.9999491764552814,SVM,cenario4/resultado_10
44,0.5182576179504395,0.27600860595703125,0.9393939393939394,0.9999674729313801,SVM,cenario4/resultado_10
45,15.371357679367065,0.04771089553833008,1.0,1.0,XGB,cenario4/resultado_10
46,15.251477479934692,0.09614229202270508,1.0,1.0,XGB,cenario4/resultado_10
47,15.431168556213379,0.04109477996826172,1.0,1.0,XGB,cenario4/resultado_10
48,15.195443391799927,0.05558371543884277,1.0,1.0,XGB,cenario4/resultado_10
49,15.467061758041382,0.031662702560424805,1.0,1.0,XGB,cenario4/resultado_10
50,0.2391037940979004,0.013157129287719727,0.9969294487289346,0.9989239527622649,LogClass,cenario4/resultado_100
51,0.2346360683441162,0.013090848922729492,0.9919308768923165,0.9980130990143167,LogClass,cenario4/resultado_100
52,0.24148797988891602,0.01264810562133789,0.9965009997143673,0.9989125913899286,LogClass,cenario4/resultado_100
53,0.23456954956054688,0.013153076171875,0.9972864895744074,0.9992032351658925,LogClass,cenario4/resultado_100
54,0.22660064697265625,0.012776374816894531,0.9925735504141674,0.9979153825723979,LogClass,cenario4/resultado_100
55,5.802246332168579,0.2914774417877197,0.9913793103448276,1.0,RF,cenario4/resultado_100
56,5.6032350063323975,0.2934000492095947,1.0,0.9999999999999999,RF,cenario4/resultado_100
